Kota/Kabupaten,Tahun,Tegal,Ladang,Tidak Diusahakan,Wilayah
Pacitan,2017,51343,1240,204.5,Kabupaten
Ponorogo,2017,38391,940,204.5,Kabupaten
Trenggalek,2017,25579,1435,204.5,Kabupaten
Tulungagung,2017,37753,215,204.5,Kabupaten
Blitar,2017,46475,320,243,Kabupaten
Kediri,2017,26887,940,132,Kabupaten
Malang,2017,110187,11099,204.5,Kabupaten
Lumajang,2017,53309,940,1303,Kabupaten
Jember,2017,32121,210,247,Kabupaten
Banyuwangi,2017,28801,18957,204.5,Kabupaten
Bondowoso,2017,23524,7065,900,Kabupaten
Situbondo,2017,29681,1827,851,Kabupaten
Probolinggo,2017,49073,382,274,Kabupaten
Pasuruan,2017,43035,940,4,Kabupaten
Sidoarjo,2017,1329,915,204.5,Kabupaten
Mojokerto,2017,8677,409,4,Kabupaten
Jombang,2017,10465,940,40,Kabupaten
Nganjuk,2017,16893,271,204.5,Kabupaten
Madiun,2017,13031,62,204.5,Kabupaten
Magetan,2017,14119,940,204.5,Kabupaten
Ngawi,2017,26079,1004,204.5,Kabupaten
Bojonegoro,2017,23555,20263,204.5,Kabupaten
Tuban,2017,69456,325,14,Kabupaten
Lamongan,2017,23328,4732,497,Kabupaten
Gresik,2017,20831,940,1440,Kabupaten
Bangkalan,2017,53771,8847,166,Kabupaten
Sampang,2017,76451,2115,204.5,Kabupaten
Pamekasan,2017,36250,9511,2544,Kabupaten
Sumenep,2017,117298,2388,3,Kabupaten
Kediri,2017,546.0,2.0,5058,Kota
Blitar,2017,35.0,940,204.5,Kota
Malang,2017,1602.0,940,204.5,Kota
Probolinggo,2017,628.0,940,3,Kota
Pasuruan,2017,453.0,940,204.5,Kota
Mojokerto,2017,25579,126.0,8,Kota
Madiun,2017,159.0,940,204.5,Kota
Surabaya,2017,1363.1,34.0,97,Kota
Batu,2017,3323.6,940,186.2,Kota
Pacitan,2018,45447,2018,82,Kabupaten
Ponorogo,2018,38391,6811,82,Kabupaten
Trenggalek,2018,26464,886,160,Kabupaten
Tulungagung,2018,38673,1404,160,Kabupaten
Blitar,2018,47126,215,243,Kabupaten
Kediri,2018,24635,26,132,Kabupaten
Malang,2018,109947,886,114,Kabupaten
Lumajang,2018,53443,11099,1781,Kabupaten
Jember,2018,31827,886,247,Kabupaten
Banyuwangi,2018,42169,210,27,Kabupaten
Bondowoso,2018,31819,886,160,Kabupaten
Situbondo,2018,29661,886,1208,Kabupaten
Probolinggo,2018,45849,1827,274,Kabupaten
Pasuruan,2018,41878,6344,4,Kabupaten
Sidoarjo,2018,1231,1128,15,Kabupaten
Mojokerto,2018,8702,1015,2,Kabupaten
Jombang,2018,10465,2,40,Kabupaten
Nganjuk,2018,13632,886,160,Kabupaten
Madiun,2018,13031,886,160,Kabupaten
Magetan,2018,13960,62,160,Kabupaten
Ngawi,2018,22863,886,160,Kabupaten
Bojonegoro,2018,21511,611,160,Kabupaten
Tuban,2018,65535,20020,239,Kabupaten
Lamongan,2018,23690,3984,432,Kabupaten
Gresik,2018,23327,4732,1440,Kabupaten
Bangkalan,2018,62471,886,584,Kabupaten
Sampang,2018,72767,320,1860,Kabupaten
Pamekasan,2018,45433,5228,3891,Kabupaten
Sumenep,2018,107224,353,3,Kabupaten
Kediri,2018,545,705,5080,Kota
Blitar,2018,35,2,160,Kota
Malang,2018,1703,886,160,Kota
Probolinggo,2018,628,886,3,Kota
Pasuruan,2018,470,886,160,Kota
Mojokerto,2018,69,886,8,Kota
Madiun,2018,141,886,28,Kota
Surabaya,2018,1363,886,78,Kota
Batu,2018,3324,34,187,Kota
Pacitan,2019,45447,886,160,Kabupaten
Ponorogo,2019,39395,6811,82,Kabupaten
Trenggalek,2019,27176,943,82,Kabupaten
Tulungagung,2019,38709,1404,82,Kabupaten
Blitar,2019,47126,215,243,Kabupaten
Kediri,2019,17144,26,132,Kabupaten
Malang,2019,108814,943,82,Kabupaten
Lumajang,2019,53520,11099,1398,Kabupaten
Jember,2019,26492,943,197,Kabupaten
Banyuwangi,2019,41159,5450,54,Kabupaten
Bondowoso,2019,31815,1035,850,Kabupaten
Situbondo,2019,31362,943,1208,Kabupaten
Probolinggo,2019,45564,831,274,Kabupaten
Pasuruan,2019,41878,6344,4,Kabupaten
Sidoarjo,2019,1937,1128,15,Kabupaten
Mojokerto,2019,8542.5,332,12,Kabupaten
Jombang,2019,10465,190,40,Kabupaten
Nganjuk,2019,13632.9,943,82,Kabupaten
Madiun,2019,13031.1,2074,82,Kabupaten
Magetan,2019,13960,61.5,82,Kabupaten
Ngawi,2019,22365.4,943,2,Kabupaten
Bojonegoro,2019,23368.1,943,82,Kabupaten
Tuban,2019,69335,21020.1,14,Kabupaten
Lamongan,2019,24054.9,318,5,Kabupaten
Gresik,2019,23326.8,4401,3957,Kabupaten
Bangkalan,2019,62451,943,584,Kabupaten
Sampang,2019,68181,339,1833,Kabupaten
Pamekasan,2019,44773,10978,4412,Kabupaten
Sumenep,2019,117814,1013,3,Kabupaten
Kediri,2019,269,746,5080,Kota
Blitar,2019,35,275,82,Kota
Malang,2019,1706,943,82,Kota
Probolinggo,2019,623,943,3,Kota
Pasuruan,2019,183,943,82,Kota
Mojokerto,2019,3.2,943,8,Kota
Madiun,2019,137,66,31.9,Kota
Surabaya,2019,671.3,943,78,Kota
Batu,2019,3323.6,34,291.9,Kota
,,,943,82,
